NM_PARTIDO,NR_IDADE_DATA_POSSE,DS_GENERO,DS_GRAU_INSTRUCAO,DS_COR_RACA,VR_RECEITA,VR_DESPESA_CONTRATADA
9,64,0,5,1,398.49,0.0
16,65,1,0,1,8948.71,3350.35
15,21,0,2,4,4541.0,2250.0
12,60,0,0,1,372.45,0.0
22,43,1,5,4,78.37,0.0
25,50,0,0,1,2513.38,0.0
2,44,1,5,4,31531.2,29990.0
23,40,1,5,1,1000.0,1000.0
24,48,0,0,4,4324.0,1100.0
15,52,0,5,1,27811.0,514.0
3,57,1,0,4,2903.38,0.0
19,57,1,0,4,5175.95,3690.0
16,57,0,0,5,4936.85,0.0
19,44,1,0,4,3625.95,0.0
19,64,0,1,4,2425.95,0.0
14,57,1,5,5,1574.08,0.0
3,51,1,5,4,9033.95,19013.0
23,29,1,6,1,950.0,0.0
16,45,0,0,4,0.0,0.0
2,50,0,0,5,55.2,0.0
1,50,1,1,1,1451.3,0.0
20,43,0,3,1,3805.12,1543.9
12,33,0,2,1,1817.45,0.0
14,47,0,2,1,36013.25,30493.8
14,56,1,2,1,2168.67,0.0
2,32,1,2,4,55.2,0.0
12,40,1,3,4,3372.45,2600.0
5,55,0,5,4,2791.58,843.0
14,52,1,5,1,11615.380000000001,8915.35
19,34,0,5,1,3965.95,2399.0
20,49,0,3,2,3708.38,1500.0
16,37,0,1,5,5006.849999999999,0.0
4,39,0,2,5,771.43,0.0
14,41,0,2,1,1574.08,0.0
0,28,1,0,1,823.7,0.0
8,35,1,5,4,1202.56,835.0
11,53,1,1,1,5006.849999999999,0.0
4,67,1,2,1,771.43,0.0
25,40,1,5,5,4122.65,0.0
22,54,0,2,1,1652.45,0.0
25,41,1,1,1,5763.45,890.35
1,40,0,5,1,1685.3,0.0
15,46,1,3,5,11947.58,25200.0
17,31,1,2,1,60.0,0.0
14,57,0,1,1,2174.08,0.0
7,72,1,5,4,0.0,0.0
24,49,1,2,1,955.85,0.0
10,62,0,0,5,3917.5,3000.0
4,43,1,2,1,771.43,0.0
16,41,0,0,5,4646.849999999999,0.0
0,55,1,6,4,4643.7,3517.0
23,37,1,5,1,2150.0,1638.01
20,55,1,1,5,2393.38,0.0
8,54,1,2,4,917.56,548.0
14,43,1,2,1,19041.0,11541.0
6,57,1,2,5,237.5,0.0
5,37,1,2,1,2791.58,0.0
20,53,1,2,1,7548.45,1670.0
12,46,1,5,1,372.45,0.0
3,39,0,2,4,4273.38,1480.0
21,40,1,2,5,5121.849999999999,0.0
23,46,0,2,5,950.0,0.0
11,47,0,2,1,5081.849999999999,0.0
5,57,1,5,1,19391.58,19119.58
13,58,0,2,4,1652.45,0.0
5,44,1,3,1,272.0,2519.58
11,69,0,1,5,5346.849999999999,0.0
5,44,0,1,1,2791.58,2519.58
13,39,1,4,5,1778.4499999999998,0.0
1,35,0,2,1,2341.3,600.0
22,58,1,2,5,1850.45,0.0
23,42,1,2,1,950.0,0.0
11,42,1,2,1,5121.85,0.0
20,23,0,6,5,2458.38,130.0
13,46,1,2,4,1617.95,0.0
24,25,1,2,1,1520.2,390.0
9,60,0,5,4,6792.85,1604.85
13,56,1,4,5,1652.45,0.0
3,26,1,2,4,2838.38,0.0
24,39,1,2,1,1296.8,0.0
1,37,1,0,1,4289.0,2710.0
1,59,1,2,1,1429.0,0.0
24,50,1,0,1,1611.69,0.0
22,36,1,2,1,1652.45,0.0
16,48,1,1,5,4496.849999999999,0.0
9,55,1,2,4,398.49,0.0
22,53,1,4,1,1652.4499999999998,0.0
11,34,1,0,5,5006.85,0.0
3,49,1,2,5,4296.92,1192.06
4,39,1,5,5,3388.25,1809.5
9,57,1,5,1,6191.849999999999,680.0
2,45,1,2,4,1063.49,0.0
14,56,1,5,5,2039.58,0.0
10,53,1,3,5,542.5,0.0
1,52,0,1,1,1741.3,0.0
4,57,0,2,1,771.43,0.0
13,54,1,2,5,2152.45,0.0
1,51,0,5,1,1741.3,0.0
6,50,1,0,4,187.5,0.0
2,30,0,3,5,4912.249999999999,0.0
12,57,0,1,5,372.45,0.0
0,56,0,2,5,6679.7,5492.0
7,47,1,2,1,0.0,0.0
11,45,1,2,1,26134.46,21811.1
22,45,1,5,4,21701.62,17946.8
16,41,1,0,1,398.49,0.0
20,54,0,6,4,3763.38,1500.0
6,53,0,6,1,187.5,0.0
2,56,1,1,4,55.2,0.0
11,38,1,5,5,5081.849999999999,0.0
6,54,1,0,5,187.5,0.0
20,53,1,6,5,2360.88,0.0
14,50,1,1,1,2105.38,605.88
1,59,0,2,1,1451.3,0.0
21,55,1,6,5,6091.849999999999,510.0
12,54,0,5,1,372.45,0.0
16,59,1,0,4,2152.5,2152.5
6,60,1,2,1,187.5,0.0
15,55,0,0,1,7123.38,4326.9
20,36,1,5,1,43152.36,43152.36
0,61,1,1,4,2179.7,982.0
10,59,1,2,1,542.5,0.0
14,43,1,2,5,24451.0,21560.0
15,29,1,2,4,20049.0,14982.1
21,49,1,6,1,8118.099999999999,3621.25
12,50,1,2,5,372.45,0.0
15,44,1,1,4,1899.38,0.0
4,44,0,5,1,771.43,0.0
11,49,1,2,4,6998.849999999999,2187.0
18,52,1,1,5,1387.04,0.0
11,50,1,2,5,5161.849999999999,0.0
9,63,1,0,4,5081.849999999999,0.0
7,60,1,2,1,0.0,0.0
6,57,1,1,5,187.5,0.0
4,67,1,0,5,771.43,0.0
14,55,1,5,1,15569.48,12506.23
18,59,1,4,4,1087.39,0.0
15,28,1,5,1,16098.75,4344.96
20,27,1,2,1,4570.5,1791.0
21,45,0,2,5,5121.849999999999,0.0
3,38,1,2,5,2783.38,0.0
6,51,1,2,1,187.5,0.0
22,40,1,5,4,10143.92,6380.35
0,64,1,5,1,28027.63,26399.56
4,40,1,2,1,11112.35,11112.35
10,58,1,2,1,87000.0,89808.01
12,55,1,2,4,372.45,0.0
16,44,1,1,1,10091.85,5000.0
6,65,1,1,1,187.5,0.0
3,66,0,0,4,2773.38,0.0
21,44,1,5,1,27647.72,13434.36
22,56,1,4,4,2599.37,0.0
13,74,1,5,1,33656.0,30000.35
0,53,1,4,4,2123.7,0.0
2,42,0,0,5,4098.36,0.0
22,58,0,2,1,1778.45,0.0
9,45,1,2,4,5236.849999999999,0.0
3,55,0,0,4,4305.88,1480.0
13,54,1,2,4,1726.37,0.0
20,36,1,0,1,10712.65,6640.0
0,52,1,4,5,3179.7,1884.0
0,40,0,2,5,6679.7,5375.8
25,33,0,5,1,2837.76,0.0
22,54,1,4,4,1652.45,0.0
3,67,1,2,4,2838.38,0.0
13,47,0,2,4,1652.42,0.0
24,61,1,2,1,1051.8,0.0
13,27,1,2,4,1720.95,0.0
25,65,1,2,1,3078.38,0.0
9,69,1,5,4,10778.8,3924.21
25,33,0,2,4,2448.38,0.0
21,39,1,6,1,7256.36,3570.91
11,33,1,6,1,6566.849999999999,1402.0
8,46,1,2,4,1087.56,300.0
21,56,1,1,4,4496.849999999999,0.0
7,32,1,2,4,0.0,0.0
23,45,1,0,1,2203.0,1203.0
23,53,1,2,4,900.0,0.0
1,51,1,5,1,1429.0,0.0
15,45,1,2,5,13809.58,10367.05
23,47,0,2,1,900.0,0.0
8,34,1,2,4,1137.56,755.19
21,51,0,5,1,5081.85,0.0
18,46,1,1,4,1087.3899999999999,0.0
19,53,1,5,1,2925.95,0.0
23,32,0,1,1,1000.0,0.0
12,54,1,0,1,372.45,0.0
14,40,1,2,1,2168.67,0.0
11,64,1,2,4,4841.849999999999,0.0
4,46,1,0,5,771.43,0.0
15,52,1,5,4,12570.2,4692.85
25,46,1,5,5,2513.38,0.0
1,39,1,2,1,3835.2,921.95
12,61,1,1,1,372.45,0.0
20,64,1,1,1,2393.38,0.0
22,35,0,2,5,1652.45,0.0
12,47,1,2,1,948.45,0.0
4,32,1,2,1,1613.4299999999998,842.0
3,39,1,2,4,2838.38,0.0
19,47,0,2,1,2242.4,766.45
25,34,1,2,1,2578.38,0.0
11,37,1,2,1,7731.849999999999,2250.0
11,55,1,1,1,6461.849999999999,1300.0
20,32,1,6,4,2360.88,0.0
24,35,1,2,4,498.9,0.0
13,33,1,2,5,34.95,0.0
8,36,1,5,4,15088.56,14711.97
19,31,1,2,1,3829.95,2968.65
6,66,1,0,4,187.5,0.0
2,55,1,2,4,5716.849999999999,325.5
24,44,0,2,1,4010.0,260.0
8,50,0,1,5,367.56,0.0
4,46,1,3,1,1536.02,764.59
11,24,1,2,1,8301.849999999999,3089.95
14,25,1,5,1,1874.0800000000002,0.0
12,27,1,6,1,2251.5,0.0
12,38,1,2,5,372.45,0.0
18,36,0,4,4,1087.39,0.0
21,34,0,5,1,663.49,0.0
1,57,0,2,1,1451.3,0.0
15,63,0,5,1,11615.75,0.0
22,32,1,3,4,1755.45,0.0
1,36,1,5,1,3515.45,0.0
9,51,1,0,4,6526.849999999999,900.0
19,24,1,0,4,2129.95,0.0
19,53,0,5,4,2425.95,950.0000000000001
25,56,0,3,5,2513.38,0.0
12,32,0,0,5,372.45,0.0
23,36,1,5,1,900.0,0.0
22,53,1,5,1,3189.37,514.0
13,48,0,5,4,38001.0,34058.13
6,48,1,2,1,187.5,0.0
0,39,1,2,4,2179.7,0.0
1,60,1,3,1,1451.3,0.0
4,44,0,2,5,200.0,0.0
6,35,0,1,5,287.5,0.0
16,50,1,1,5,5011.849999999999,0.0
11,42,1,3,5,4606.849999999999,0.0
15,44,1,1,4,5829.38,3774.0
8,50,1,2,4,367.56,0.0
13,40,1,2,5,1652.45,0.0
16,20,0,3,1,398.49,0.0
24,46,1,0,5,724.0,0.0
9,42,0,2,5,5066.849999999999,0.0
22,60,0,0,4,1652.45,0.0
23,57,1,5,1,3270.0,2300.0
6,48,1,5,1,187.5,0.0
22,43,1,2,4,1655.37,0.0
7,47,1,2,1,0.0,0.0
7,48,0,2,5,1000.0,1000.0
5,24,0,0,1,2791.58,2519.58
6,50,1,2,5,187.5,0.0
25,54,1,0,4,4193.9,1021.0
20,44,1,3,1,2416.5,0.0
3,33,0,2,1,6221.9,3870.0
18,56,1,2,4,1087.3899999999999,0.0
6,53,1,0,1,187.5,0.0
15,43,1,2,4,1639.58,0.0
25,51,0,2,5,2578.38,0.0
1,60,0,5,1,1741.3,0.0
8,49,0,2,5,598.56,231.0
19,41,1,6,1,4475.95,3000.0
18,37,1,2,4,1387.04,0.0
4,44,0,2,4,771.43,0.0
1,52,0,2,5,1451.3,0.0
6,51,1,1,5,187.5,0.0
16,34,1,0,4,4458.1,4304.35
18,45,1,3,4,1087.39,0.0
20,51,1,2,4,2788.9,0.0
16,41,1,1,4,5076.849999999999,0.0
15,54,1,1,1,12214.369999999999,4566.15
16,41,0,0,5,438.49,0.0
15,41,1,5,4,9258.0,5470.0
22,55,0,2,1,1652.45,0.0
12,55,0,3,4,372.45,0.0
6,65,1,6,5,187.5,0.0
6,64,0,2,1,187.5,0.0
7,62,1,2,1,0.0,0.0
